model,split,metric,mean,ci_low,ci_high,n
base,val,accuracy,0.9176,0.9131576878316835,0.9220423121683164,5
base,val,f1_macro,0.9176056207694113,0.9133644801546972,0.9218467613841255,5
base,val,nll,0.9052481770515441,0.7431425606673573,1.0673537934357311,5
base,val,lppd,-452.62409057617185,-533.676905398579,-371.5712757537647,5
base,val,brier,0.15936836004257202,0.14917155498111817,0.16956516510402586,5
base,val,ece,0.08129633946418763,0.07701595945965752,0.08557671946871774,5
base,val,mean_uncertainty,0.003384900093078613,0.0019325103725147024,0.004837289813642524,5
base,test,accuracy,0.9076000000000001,0.8984083311772532,0.916791668822747,5
base,test,f1_macro,0.9073166973959659,0.8987923108006558,0.915841083991276,5
base,test,nll,0.955594801902771,0.8044740140365835,1.1067155897689585,5
base,test,lppd,-477.7973999023437,-553.3577912344282,-402.23700857025926,5
base,test,brier,0.1779133677482605,0.16138970681098477,0.19443702868553622,5
base,test,ece,0.08946525480747222,0.08189905950831555,0.09703145010662889,5
base,test,mean_uncertainty,0.005163037776947021,0.004156575408607487,0.006169500145286555,5
sidekick,val,accuracy,0.666,0.666,0.666,5
sidekick,val,f1_macro,0.6625082489499046,0.6625082489499046,0.6625082489499046,5
sidekick,val,nll,2.6002485752105713,2.6002485752105713,2.6002485752105713,5
sidekick,val,lppd,-1300.124267578125,-1300.124267578125,-1300.124267578125,5
sidekick,val,brier,0.6322128772735596,0.6322128772735596,0.6322128772735596,5
sidekick,val,ece,0.30719196045398706,0.30719196045398706,0.30719196045398706,5
sidekick,val,mean_uncertainty,0.03689920902252197,0.03689920902252197,0.03689920902252197,5
sidekick,test,accuracy,0.642,0.642,0.642,5
sidekick,test,f1_macro,0.6415779079094401,0.6415779079094401,0.6415779079094401,5
sidekick,test,nll,2.807657480239868,2.807657480239868,2.807657480239868,5
sidekick,test,lppd,-1403.8287353515625,-1403.8287353515625,-1403.8287353515625,5
sidekick,test,brier,0.6678383946418762,0.6678383946418762,0.6678383946418762,5
sidekick,test,ece,0.31765024906396866,0.31765024906396866,0.31765024906396866,5
sidekick,test,mean_uncertainty,0.040349721908569336,0.040349721908569336,0.040349721908569336,5
duo,val,accuracy,0.9067999999999999,0.8943090823465664,0.9192909176534335,5
duo,val,f1_macro,0.9067634034595802,0.8941230934661557,0.9194037134530046,5
duo,val,nll,0.6144270041878688,0.5385022358615674,0.6903517725141701,5
duo,val,lppd,-307.2135020939344,-345.17588625708504,-269.2511179307837,5
duo,val,brier,0.17039493321427662,0.148622251561012,0.19216761486754125,5
duo,val,ece,0.07599091203591447,0.06431246560527784,0.0876693584665511,5
duo,val,mean_uncertainty,0.024359365563500424,0.02122797920973743,0.02749075191726342,5
duo,test,accuracy,0.9036000000000002,0.8915105022798931,0.9156894977201072,5
duo,test,f1_macro,0.9035463480656813,0.8923652145305667,0.914727481600796,5
duo,test,nll,0.6540235770759678,0.5805970198204362,0.7274501343314994,5
duo,test,lppd,-327.01178853798393,-363.72506716574975,-290.2985099102181,5
duo,test,brier,0.17908991256553242,0.15873507077922847,0.19944475435183637,5
duo,test,ece,0.07894576007390963,0.0682825609884444,0.08960895915937486,5
duo,test,mean_uncertainty,0.028201223044124778,0.024196870003520034,0.03220557608472952,5
base_de(2),test,accuracy,0.9099999999999999,0.8982205410311346,0.9217794589688653,5
base_de(2),test,f1_macro,0.9100434707514191,0.8980263196377234,0.9220606218651148,5
base_de(2),test,nll,0.7921532273292542,0.7049335955272014,0.879372859131307,5
base_de(2),test,lppd,-396.0766174316406,-439.6864409219667,-352.4667939413145,5
base_de(2),test,brier,0.16008664071559905,0.14730484751411033,0.17286843391708778,5
base_de(2),test,ece,0.07404929994344712,0.06508966123450054,0.08300893865239371,5
base_de(2),test,mean_uncertainty,0.022672665119171143,0.019821381913515766,0.02552394832482652,5
sidekick_de(2),test,accuracy,0.642,0.642,0.642,5
sidekick_de(2),test,f1_macro,0.6415779079094401,0.6415779079094401,0.6415779079094401,5
sidekick_de(2),test,nll,2.807657480239868,2.807657480239868,2.807657480239868,5
sidekick_de(2),test,lppd,-1403.8287353515625,-1403.8287353515625,-1403.8287353515625,5
sidekick_de(2),test,brier,0.6678383946418762,0.6678383946418762,0.6678383946418762,5
sidekick_de(2),test,ece,0.31765024906396866,0.31765024906396866,0.31765024906396866,5
sidekick_de(2),test,mean_uncertainty,0.040349721908569336,0.040349721908569336,0.040349721908569336,5
